Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2010-02-03,7.115356922149658,61.459999084472656,30.75,125.66000366210938,27.434999465942383,28.6299991607666,Wednesday,1
2010-02-04,6.858928680419922,59.31999969482422,29.670000076293945,123.0,26.71500015258789,27.84000015258789,Thursday,1
2010-02-05,6.980714321136475,58.400001525878906,29.540000915527344,123.5199966430664,26.545000076293945,28.020000457763672,Friday,1
2010-02-08,6.932857036590576,57.88999938964844,29.479999542236328,121.87999725341795,26.325000762939453,27.71999931335449,Monday,1
2010-02-09,7.006785869598389,59.7400016784668,29.84000015258789,123.20999908447266,27.0049991607666,28.01000022888184,Tuesday,1
2010-02-10,6.968571662902832,59.540000915527344,30.030000686645508,122.80999755859376,26.895000457763672,27.989999771118164,Wednesday,1
2010-02-11,7.0953569412231445,60.59000015258789,30.15999984741211,123.7300033569336,27.11000061035156,28.1200008392334,Thursday,1
2010-02-12,7.156428337097168,59.650001525878906,30.06999969482422,124.0,26.989999771118164,27.93000030517578,Friday,1
2010-02-16,7.264285564422607,61.2599983215332,30.46999931335449,125.2300033569336,27.40999984741211,28.350000381469727,Tuesday,1
2010-02-17,7.233928680419922,61.81999969482422,30.86000061035156,126.33000183105467,27.665000915527344,28.59000015258789,Wednesday,1
2010-02-18,7.247499942779541,62.88999938964844,31.020000457763672,127.80999755859376,27.95499992370605,28.96999931335449,Thursday,1
2010-02-19,7.202499866485596,63.59000015258789,31.229999542236328,127.19000244140624,27.86000061035156,28.770000457763672,Friday,1
2010-02-22,7.1578569412231445,63.970001220703125,31.1200008392334,126.8499984741211,27.690000534057617,28.729999542236328,Monday,1
2010-02-23,7.037857055664063,62.77000045776367,30.920000076293945,126.45999908447266,27.415000915527344,28.32999992370605,Tuesday,1
2010-02-24,7.166428565979004,63.47999954223633,31.38999938964844,127.58999633789062,27.57999992370605,28.6299991607666,Wednesday,1
2010-02-25,7.214285850524902,62.869998931884766,31.36000061035156,127.06999969482422,26.559999465942383,28.600000381469727,Thursday,1
2010-02-26,7.307857036590576,63.15999984741211,31.239999771118164,127.16000366210938,26.36000061035156,28.670000076293945,Friday,1
2010-03-01,7.463928699493408,64.0,31.540000915527344,128.57000732421875,26.63500022888184,29.020000457763672,Monday,1
2010-03-02,7.45892858505249,64.44000244140625,31.8799991607666,127.41999816894533,26.649999618530277,28.459999084472656,Tuesday,1
2010-03-03,7.476071357727051,64.44999694824219,31.63999938964844,126.87999725341795,26.96500015258789,28.459999084472656,Wednesday,1
2010-03-04,7.525357246398926,65.55000305175781,32.56999969482422,126.72000122070312,27.23500061035156,28.6299991607666,Thursday,1
2010-03-05,7.819643020629883,67.93000030517578,33.220001220703125,127.25,27.350000381469727,28.59000015258789,Friday,1
2010-03-08,7.824285507202148,67.23999786376953,33.189998626708984,126.41000366210938,27.229999542236328,28.6299991607666,Monday,1
2010-03-09,7.965000152587891,67.79000091552734,33.310001373291016,125.5500030517578,27.09000015258789,28.799999237060547,Tuesday,1
2010-03-10,8.029999732971191,70.01000213623047,33.33000183105469,125.62000274658205,27.100000381469727,28.96999931335449,Wednesday,1
2010-03-11,8.053571701049805,70.06999969482422,33.810001373291016,127.5999984741211,26.799999237060547,29.18000030517578,Thursday,1
2010-03-12,8.092857360839844,69.83000183105469,33.689998626708984,127.94000244140624,26.674999237060547,29.270000457763672,Friday,1
2010-03-15,7.994285583496094,69.4000015258789,33.720001220703125,127.83000183105467,26.825000762939453,29.290000915527344,Monday,1
2010-03-16,8.016071319580078,68.72000122070312,33.75,128.6699981689453,26.850000381469727,29.3700008392334,Tuesday,1
2010-03-17,8.00428581237793,69.37999725341797,33.75,127.76000213623048,26.920000076293945,29.6299991607666,Wednesday,1
2010-03-18,8.023214340209961,70.87000274658203,33.779998779296875,128.3800048828125,26.975000381469727,29.61000061035156,Thursday,1
2010-03-19,7.9375,70.72000122070312,33.63999938964844,127.70999908447266,27.375,29.59000015258789,Friday,1
2010-03-22,8.026785850524902,71.91000366210938,33.95000076293945,127.9800033569336,27.270000457763672,29.600000381469727,Monday,1
2010-03-23,8.15571403503418,72.18000030517578,34.0099983215332,129.3699951171875,27.649999618530277,29.8799991607666,Tuesday,1
2010-03-24,8.19178581237793,72.31999969482422,34.38999938964844,128.52999877929688,27.309999465942383,29.649999618530277,Wednesday,1
2010-03-25,8.094642639160156,72.48999786376953,35.09000015258789,129.24000549316406,27.399999618530277,30.01000022888184,Thursday,1
2010-03-26,8.246428489685059,72.58999633789062,35.310001373291016,129.25999450683594,27.325000762939453,29.65999984741211,Friday,1
2010-03-29,8.299642562866211,74.11000061035156,35.15999984741211,128.58999633789062,27.38500022888184,29.59000015258789,Monday,1
2010-03-30,8.423213958740234,73.52999877929688,35.099998474121094,128.77000427246094,27.434999465942383,29.770000457763672,Tuesday,1
2010-03-31,8.392857551574707,72.61000061035156,34.90999984741211,128.25,27.5,29.290000915527344,Wednesday,1
2010-04-01,8.427499771118164,72.98999786376953,35.54999923706055,128.25,27.649999618530277,29.15999984741211,Thursday,2
2010-04-05,8.517499923706055,72.04000091552734,35.220001220703125,129.35000610351562,27.43000030517578,29.270000457763672,Monday,2
2010-04-06,8.555000305175781,72.36000061035156,35.470001220703125,128.92999267578125,27.145000457763672,29.31999969482422,Tuesday,2
2010-04-07,8.592857360839844,72.0999984741211,35.31999969482422,128.47999572753906,26.90999984741211,29.350000381469727,Wednesday,2
2010-04-08,8.569643020629883,72.27999877929688,35.66999816894531,127.61000061035156,26.8799991607666,29.920000076293945,Thursday,2
2010-04-09,8.635356903076172,72.41999816894531,36.220001220703125,128.75999450683594,27.295000076293945,30.34000015258789,Friday,2
2010-04-12,8.653214454650879,71.91999816894531,35.88999938964844,128.36000061035156,27.3799991607666,30.31999969482422,Monday,2
2010-04-13,8.658214569091797,71.19000244140625,35.84000015258789,129.02999877929688,27.51000022888184,30.450000762939453,Tuesday,2
2010-04-14,8.774642944335938,71.69999694824219,36.20000076293945,131.25,27.475000381469727,30.81999969482422,Wednesday,2
2010-04-15,8.890000343322754,72.08999633789062,36.400001525878906,130.88999938964844,27.1299991607666,30.8700008392334,Thursday,2
2010-04-16,8.835714340209961,70.79000091552734,35.83000183105469,130.6300048828125,27.48500061035156,30.670000076293945,Friday,2
2010-04-19,8.823928833007812,70.95999908447266,36.16999816894531,132.22999572753906,27.65999984741211,31.040000915527344,Monday,2
2010-04-20,8.735357284545898,71.41000366210938,36.540000915527344,129.69000244140625,27.23500061035156,31.36000061035156,Tuesday,2
2010-04-21,9.257857322692873,74.16000366210938,36.560001373291016,128.99000549316406,27.09499931335449,31.32999992370605,Wednesday,2
2010-04-22,9.516785621643066,75.58999633789062,36.77999877929688,129.1300048828125,27.155000686645508,31.38999938964844,Thursday,2
2010-04-23,9.672499656677246,75.12999725341797,36.790000915527344,129.99000549316406,26.940000534057617,30.959999084472656,Friday,2
