Date,Price,Returns
2014-01-01,202.0,
2014-01-02,199.8500061035156,-0.010643534141011934
2014-01-03,199.1499938964844,-0.003502687944220595
2014-01-06,198.9499969482422,-0.0010042528464558886
2014-01-07,194.5,-0.022367414006042363
2014-01-08,191.5,-0.015424164524421635
2014-01-09,200.3500061035156,0.04621413108885419
2014-01-10,196.8500061035156,-0.017469427967931495
2014-01-13,195.8999938964844,-0.004826071514224983
2014-01-14,192.5500030517578,-0.017100515309340758
2014-01-15,197.1999969482422,0.0241495394587683
2014-01-16,200.1000061035156,0.014705929006857632
2014-01-17,200.6000061035156,0.00249875054846993
2014-01-20,205.5,0.024426688670965646
2014-01-21,208.75,0.015815085158150888
2014-01-22,210.4499969482422,0.008143697955651286
2014-01-23,208.8500061035156,-0.007602712605978779
2014-01-24,202.6999969482422,-0.029447014486679857
2014-01-27,195.0500030517578,-0.03774047366383404
2014-01-28,199.8999938964844,0.024865371796172875
2014-01-29,193.6000061035156,-0.03151569777551455
2014-01-30,187.1999969482422,-0.033057897487107524
2014-01-31,188.3999938964844,0.006410240212632035
2014-02-03,185.6000061035156,-0.014861931442032073
2014-02-04,184.6000061035156,-0.005387930857298939
2014-02-05,184.6999969482422,0.0005416621962108792
2014-02-06,183.3500061035156,-0.007309100525350276
2014-02-07,189.8999938964844,0.03572395732166389
2014-02-10,187.9499969482422,-0.010268546660960776
2014-02-11,188.8000030517578,0.0045225119303922146
2014-02-12,187.5,-0.006885609273011628
2014-02-13,188.8500061035156,0.007200032552083124
2014-02-14,189.6000061035156,0.003971405749327417
2014-02-17,188.6999969482422,-0.004746883577535499
2014-02-18,189.25,0.002914695604943063
2014-02-19,186.1499938964844,-0.016380481392420543
2014-02-20,185.25,-0.004834778006948981
2014-02-21,186.0,0.004048582995951344
2014-02-24,183.8999938964844,-0.011290355395245144
2014-02-25,179.4499969482422,-0.024197917868051033
2014-02-26,175.0,-0.024797977285704098
2014-02-28,177.64999389648438,0.015142822265624911
2014-03-03,174.4499969482422,-0.01801293024590145
2014-03-04,182.5,0.0461450455292709
2014-03-05,182.4499969482422,-0.0002739893247003522
2014-03-06,186.3000030517578,0.021101705496919365
2014-03-07,186.3000030517578,0.0
2014-03-10,183.9499969482422,-0.012614095893829669
2014-03-11,177.8000030517578,-0.03343296547166996
2014-03-12,175.75,-0.011529825739997612
2014-03-13,172.8000030517578,-0.016785188894692382
2014-03-14,171.5,-0.007523165675919707
2014-03-18,172.5,0.005830903790087438
2014-03-19,175.85000610351562,0.01942032523777182
2014-03-20,172.8000030517578,-0.01734434430421572
2014-03-21,175.89999389648438,0.017939761516080788
2014-03-24,178.35000610351562,0.013928438271993748
2014-03-25,175.0500030517578,-0.01850296012797703
2014-03-26,182.4499969482422,0.042273600499717734
2014-03-27,180.4499969482422,-0.010961907555237516
2014-03-28,182.9499969482422,0.013854253490051649
2014-03-31,188.5500030517578,0.03060949000780755
2014-04-01,192.3999938964844,0.02041893811940043
2014-04-02,189.3000030517578,-0.01611221903881377
2014-04-03,190.6499938964844,0.007131488763671534
2014-04-04,190.1000061035156,-0.002884803622219989
2014-04-07,194.3999938964844,0.022619608915884548
